cell,cell_type,A,K_Ihalf,n,sse,ok
PC1,PC,11.596914702869874,0.011242100350620869,1.3593220338983052,0.3148470800245018,true
PC2,PC,11.596914702868848,0.011242100350620869,1.3593220338983052,0.31484708002434114,true
PC3,PC,11.596914702872654,0.011242100350620869,1.3593220338983052,0.3148470800247145,true
PC4,PC,11.596914702871794,0.011242100350620869,1.3593220338983052,0.3148470800245914,true
PC5,PC,11.596914702870729,0.011242100350620869,1.3593220338983052,0.31484708002457684,true
PC6,PC,11.596914702869803,0.011242100350620869,1.3593220338983052,0.3148470800244267,true
PC7,PC,11.596914702871606,0.011242100350620869,1.3593220338983052,0.3148470800245942,true
PC8,PC,11.59691470287087,0.011242100350620869,1.3593220338983052,0.3148470800245522,true
PC9,PC,11.596914702869844,0.011242100350620869,1.3593220338983052,0.3148470800245336,true
PC10,PC,11.59691470286979,0.011242100350620869,1.3593220338983052,0.3148470800244548,true
PC11,PC,11.596914702871409,0.011242100350620869,1.3593220338983052,0.3148470800246231,true
PC12,PC,11.596914702871421,0.011242100350620869,1.3593220338983052,0.31484708002452955,true
PC13,PC,11.59691470286739,0.011242100350620869,1.3593220338983052,0.31484708002430556,true
PC14,PC,11.59691470287345,0.011242100350620869,1.3593220338983052,0.31484708002479744,true
PC15,PC,11.596914702870206,0.011242100350620869,1.3593220338983052,0.314847080024412,true
PC16,PC,11.596914702868759,0.011242100350620869,1.3593220338983052,0.3148470800244034,true
HC1,HC,34.34744508126386,0.022695105366946685,3.0983050847457627,0.21667990066614518,true
HC2,HC,34.34744508126384,0.022695105366946685,3.0983050847457627,0.21667990066612083,true
HC3,HC,34.34744508126384,0.022695105366946685,3.0983050847457627,0.21667990066616383,true
HC4,HC,34.34744508126388,0.022695105366946685,3.0983050847457627,0.21667990066618725,true
ONBC1,ONBC,24.029852436518397,0.01597312280060254,4.0,2.857052176201065,true
ONBC2,ONBC,24.029852436518347,0.01597312280060254,4.0,2.857052176200884,true
ONBC3,ONBC,24.029852436518336,0.01597312280060254,4.0,2.8570521762010994,true
ONBC4,ONBC,24.02985243651825,0.01597312280060254,4.0,2.857052176200468,true
MG1,MG,14.607685789326249,0.01597312280060254,2.840677966101695,1.0479211237475592,true
MG2,MG,14.607685789326212,0.01597312280060254,2.840677966101695,1.047921123747396,true
MG3,MG,14.60768578932622,0.01597312280060254,2.840677966101695,1.0479211237474808,true
MG4,MG,14.60768578932622,0.01597312280060254,2.840677966101695,1.0479211237475048,true
A21,A2,37.24436044374045,0.0179571449437164,4.0,16.431730607060533,true
A22,A2,37.24436044374045,0.0179571449437164,4.0,16.431730607060704,true
A23,A2,37.24436044374045,0.0179571449437164,4.0,16.431730607060757,true
A24,A2,37.24436044374045,0.0179571449437164,4.0,16.43173060706054,true
GC1,GC,119.04494992508874,0.0179571449437164,4.0,261.49374393678045,true
